|   name |               Cluster Name |         ra |       dec |     z |  gal_l |   mass | complete | lowmass |                    CHANCES |                   Abell |  CODEX |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |
|  83605 |                 ABELL 3694 |  -51.31308 | -34.05917 | 0.095 |   8.81 |  35.58 |    False |   False |                            |              ABELL 3694 |  83605 |                     | PSZ2 G008.80-35.18 |                 |          |                   |
|  94834 |                ABELL S0522 |   79.62634 | -56.25818 | 0.095 | 264.37 |  44.87 |    False |    True |                            |             ABELL S0522 |  94834 |                     |                    |                 |          |                   |
|  68504 |                 ABELL 0123 |   14.59965 | -14.45404 | 0.095 | 130.57 |  41.94 |    False |    True |                            |              ABELL 0123 |  68504 |                     |                    |                 |          |                   |
|  69198 |                 ABELL 0474 |   62.88424 | -16.70165 | 0.095 | 211.00 |  31.03 |    False |   False |                            |              ABELL 0474 |  69198 |                     |                    |                 |          |                   |
|  80604 |                 ABELL 2755 |    4.39148 | -35.16986 | 0.095 | 342.83 |  85.00 |     True |   False |                            |              ABELL 2755 |  80604 | ACT-CL J0017.5-3511 |                    |                 |          |                   |
|  88254 |                 ABELL 3047 |   41.31589 | -46.46843 | 0.095 | 261.29 |  39.21 |    False |   False |                            |              ABELL 3047 |  88254 |                     |                    |                 |          |                   |
|  52261 |                      52261 |  125.78464 |   4.33707 | 0.096 | 219.75 |  32.02 |    False |   False |                            |                         |  52261 |                     |                    |                 |          |                   |
|  72087 |                 ABELL 2384 |  -31.92199 | -19.60003 | 0.096 |  33.48 |  90.24 |     True |   False |                            |              ABELL 2384 |  72087 |                     | PSZ2 G033.46-48.43 |           A2384 |          |                   |
|  73626 |                 ABELL 3368 |   87.65106 | -22.54371 | 0.096 | 227.45 |  23.04 |    False |   False |                            |              ABELL 3368 |  73626 |                     |                    |                 |          |                   |
|  55038 |                 ABELL 2700 |    0.96330 |   2.06295 | 0.096 |  99.61 |  42.17 |    False |    True |                            |              ABELL 2700 |  55038 | ACT-CL J0003.8+0203 | PSZ2 G099.57-58.64 |                 |          |                   |
|  77384 |                 ABELL 3194 |   59.77903 | -30.18989 | 0.096 | 228.71 |  42.61 |    False |    True |                            |              ABELL 3194 |  77384 |                     |                    |                 |          |                   |
|  58491 |                      58491 | -106.98401 |  -0.32800 | 0.096 |  17.96 |  41.22 |    False |    True |                            |                         |  58491 |                     |                    |                 |          |                   |
|  82404 |                 ABELL 3455 |  163.09419 | -34.20796 | 0.097 | 276.55 |  28.78 |    False |   False |                            |              ABELL 3455 |  82404 |                     |                    |                 |          |                   |
|  94868 |                 ABELL 3334 |   79.48350 | -58.57682 | 0.097 | 267.20 |  41.21 |    False |    True |                            |              ABELL 3334 |  94868 |                     |                    |                 |          |                   |
|  57390 |                 ABELL 1189 |  167.75512 |   1.12417 | 0.097 | 255.92 |  25.24 |    False |   False |                            |              ABELL 1189 |  57390 |                     |                    |                 |          |                   |
|  57163 |                 ABELL 0933 |  151.99405 |   0.52456 | 0.097 | 240.16 |  40.09 |    False |   False |                            |              ABELL 0933 |  57163 |                     |                    |                 |          |                   |
|  56023 |                      56023 |   78.47399 |   1.95825 | 0.097 | 199.43 |  40.20 |    False |    True |                            |                         |  56023 |                     |                    |                 |          |                   |
|  97501 |                 ABELL 3362 |   85.23357 | -61.75634 | 0.097 | 270.82 |  26.46 |    False |   False |                            |              ABELL 3362 |  97501 |                     |                    |                 |          |                   |
|  58441 |                      58441 | -107.01682 |  -0.32404 | 0.097 |  17.94 |  39.38 |    False |   False |                            |                         |  58441 |                     |                    |                 |          |                   |
|  62181 |                 ABELL 1375 |  176.51964 |  -8.26572 | 0.097 | 276.54 |  27.13 |    False |   False |                            |              ABELL 1375 |  62181 |                     |                    |                 |          |                   |
| 100211 |                     100211 |   99.14035 | -66.84138 | 0.097 | 276.99 |  28.49 |    False |   False |                            |                         | 100211 |                     |                    |                 |          |                   |
|  94045 |                 ABELL 3877 |  -23.12211 | -48.88304 | 0.098 | 345.01 |  66.00 |    False |    True |                            |              ABELL 3877 |  94045 |                     |                    |                 |          |                   |
|  99486 |                 ABELL 2789 |    8.35763 | -69.24691 | 0.098 | 305.30 |  26.36 |    False |   False |                            |              ABELL 2789 |  99486 |                     |                    |                 |          |                   |
