|                name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |            CHANCES |                   Abell |               PSZ2 |
| ACT-CL J0114.7-2820 |   18.67675 | -28.34470 | 0.441 | 227.57 |  6.83 |    False |    True |  SPLUS-s22s13 |                    |                         | PSZ2 G227.61-84.72 |
| ACT-CL J0115.3-5958 |   18.83027 | -59.98010 | 0.396 | 297.46 |  4.52 |    False |   False |  SPLUS-s46s08 |                    |                         |                    |
| ACT-CL J0115.4-1859 |   18.85839 | -18.99170 | 0.371 | 158.31 |  3.26 |    False |   False |  SPLUS-s15s14 |                    |                         |                    |
| ACT-CL J0115.8-2917 |   18.95145 | -29.29020 | 0.410 | 236.29 |  3.10 |    False |   False |  SPLUS-s23s13 |                    |                         |                    |
| ACT-CL J0116.0+0439 |   19.00418 |   4.65007 | 0.327 | 134.44 |  2.97 |    False |   False |               |                    |                         |                    |
| ACT-CL J0116.5-0322 |   19.12929 |  -3.38333 | 0.397 | 138.18 |  2.34 |    False |   False |               |                    |                         |                    |
| ACT-CL J0116.6-5046 |   19.16522 | -50.77351 | 0.396 | 293.15 |  2.97 |    False |   False |  SPLUS-s39s10 |                    |              ABELL 2893 | PSZ2 G293.01-65.78 |
| ACT-CL J0116.9-4315 |   19.24011 | -43.25921 | 0.408 | 286.80 |  3.07 |    False |   False |  SPLUS-s33s12 |                    |                         |                    |
| ACT-CL J0118.1-5637 |   19.52915 | -56.63333 | 0.207 | 295.57 |  2.80 |    False |   False |  SPLUS-s44s09 |                    |              ABELL 2897 |                    |
| ACT-CL J0118.1-2520 |   19.54584 | -25.34582 | 0.306 | 197.88 |  2.83 |    False |   False |  SPLUS-s20s14 |                    |                         |                    |
| ACT-CL J0118.2-2658 |   19.55271 | -26.97537 | 0.228 | 212.99 |  7.49 |    False |    True |  SPLUS-s21s14 |                    |              ABELL 2895 | PSZ2 G212.82-84.04 |
| ACT-CL J0118.6-5404 |   19.65319 | -54.06876 | 0.240 | 294.26 |  3.06 |    False |   False |  SPLUS-s42s10 |                    |             ABELL S0148 |                    |
| ACT-CL J0119.1-0934 |   19.79940 |  -9.57579 | 0.388 | 144.71 |  3.87 |    False |   False |               |                    |                         |                    |
| ACT-CL J0120.1-4836 |   20.04801 | -48.60373 | 0.216 | 290.28 |  2.49 |    False |   False |  SPLUS-s37s11 |                    |             ABELL S0149 |                    |
| ACT-CL J0120.4-0822 |   20.12087 |  -8.36919 | 0.343 | 144.40 |  3.13 |    False |   False |               |                    |                         |                    |
| ACT-CL J0121.8-0620 |   20.46651 |  -6.33532 | 0.320 | 143.48 |  2.69 |    False |   False |               |                    |                         |                    |
| ACT-CL J0121.9-2032 |   20.47649 | -20.54558 | 0.310 | 171.16 |  3.63 |    False |   False |  SPLUS-s16s15 |                    |              ABELL 2902 | PSZ2 G171.08-80.38 |
| ACT-CL J0122.0+0019 |   20.51642 |   0.32689 | 0.174 | 139.19 |  2.64 |    False |   False | STRIPE82_0030 |                    |              ABELL 0181 |                    |
| ACT-CL J0122.2-2131 |   20.56667 | -21.51669 | 0.166 | 175.95 |  2.67 |    False |   False |  SPLUS-s17s15 |                    |              ABELL 0185 |                    |
| ACT-CL J0122.7-3448 |   20.69282 | -34.80923 | 0.300 | 263.72 |  2.95 |    False |   False |  SPLUS-s27s14 |                    |                         |                    |
| ACT-CL J0122.8+0414 |   20.71251 |   4.24167 | 0.231 | 137.72 |  2.39 |    False |   False |               |                    |                         |                    |
| ACT-CL J0123.3-0936 |   20.83506 |  -9.61666 | 0.267 | 147.70 |  3.30 |    False |   False |               |                    |                         |                    |
| ACT-CL J0123.4-3108 |   20.87107 | -31.13675 | 0.309 | 244.64 |  3.82 |    False |   False |  SPLUS-s24s14 |                    |                         |                    |
| ACT-CL J0124.0-3321 |   21.00424 | -33.36667 | 0.174 | 256.49 |  2.34 |    False |   False |  SPLUS-s26s14 |                    |              ABELL 2908 |                    |
| ACT-CL J0124.3+0426 |   21.07918 |   4.44167 | 0.124 | 138.29 |  2.33 |    False |   False |               |                    |              ABELL 0192 |                    |
| ACT-CL J0124.7-5937 |   21.19539 | -59.62776 | 0.208 | 295.20 |  2.82 |    False |   False |  SPLUS-s46s09 |                    |             ABELL S0157 | PSZ2 G295.19-56.99 |
| ACT-CL J0125.6-0143 |   21.41389 |  -1.72781 | 0.338 | 142.26 |  2.23 |    False |   False |               |                    |                         |                    |
| ACT-CL J0126.7-5000 |   21.68164 | -50.00332 | 0.127 | 288.82 |  2.16 |    False |   False |  SPLUS-s39s11 |                    |              ABELL 2912 |                    |
| ACT-CL J0127.0-0630 |   21.76667 |  -6.51269 | 0.378 | 146.86 |  2.40 |    False |   False |               |                    |                         |                    |
| ACT-CL J0127.1-1625 |   21.79843 | -16.42901 | 0.252 | 162.50 |  4.61 |    False |   False |  SPLUS-s13s17 |                    |              ABELL 0198 |                    |
